order_number,locality_number,locality_name,sector_code,sector_class,sector_name
1,4,SAN CRISTOBAL,1101,URBANO,LAS BRISAS
2,4,SAN CRISTOBAL,1102,URBANO,BUENOS AIRES
3,4,SAN CRISTOBAL,1103,URBANO,VITELMA
4,4,SAN CRISTOBAL,1104,URBANO,MOLINOS DE ORIENTE
5,4,SAN CRISTOBAL,1106,URBANO,SAN BLAS
6,4,SAN CRISTOBAL,1107,URBANO,LAS MERCEDES
7,4,SAN CRISTOBAL,1108,URBANO,SAN CRISTOBAL SUR
8,4,SAN CRISTOBAL,1109,URBANO,LA MARIA
9,4,SAN CRISTOBAL,1110,URBANO,SAN JAVIER
10,4,SAN CRISTOBAL,1111,URBANO,SANTA ANA SUR
11,4,SAN CRISTOBAL,1112,URBANO,PRIMERO DE MAYO
12,4,SAN CRISTOBAL,1113,URBANO,SAN BLAS II
13,4,SAN CRISTOBAL,1114,URBANO,VELODROMO
14,4,SAN CRISTOBAL,1115,URBANO,MONTE CARLO
15,4,SAN CRISTOBAL,1116,URBANO,TIBAQUE URBANO
16,15,ANTONIO NARINO,1201,URBANO,SEVILLA
17,15,ANTONIO NARINO,1202,URBANO,CIUDAD BERNA
18,15,ANTONIO NARINO,1203,URBANO,CARACAS
19,15,ANTONIO NARINO,1204,URBANO,CIUDAD JARDIN SUR
20,4,SAN CRISTOBAL,1205,URBANO,SOCIEGO
21,4,SAN CRISTOBAL,1206,URBANO,QUINTA RAMOS
22,4,SAN CRISTOBAL,1207,URBANO,NARINO SUR
23,15,ANTONIO NARINO,1208,URBANO,LA HORTUA
24,4,SAN CRISTOBAL,1209,URBANO,MODELO SUR
25,4,SAN CRISTOBAL,1210,URBANO,CALVO SUR
26,15,ANTONIO NARINO,1211,URBANO,POLICARPA
27,4,SAN CRISTOBAL,1301,URBANO,GRANADA SUR
28,4,SAN CRISTOBAL,1302,URBANO,MONTEBELLO
29,4,SAN CRISTOBAL,1303,URBANO,CORDOBA
30,4,SAN CRISTOBAL,1304,URBANO,BELLO HORIZONTE
31,4,SAN CRISTOBAL,1305,URBANO,ATENAS
32,4,SAN CRISTOBAL,1306,URBANO,SAN PEDRO
33,4,SAN CRISTOBAL,1307,URBANO,RAMAJAL
34,4,SAN CRISTOBAL,1308,URBANO,SANTA INES SUR
35,4,SAN CRISTOBAL,1309,URBANO,SAN VICENTE
36,4,SAN CRISTOBAL,1310,URBANO,LA VICTORIA
37,4,SAN CRISTOBAL,1311,URBANO,LA GLORIA OCCIDENTAL
38,4,SAN CRISTOBAL,1312,URBANO,LOS ALPES
39,4,SAN CRISTOBAL,1313,URBANO,BELLAVISTA SUR
40,4,SAN CRISTOBAL,1314,URBANO,SAN JOSE SUR ORIENTAL
41,4,SAN CRISTOBAL,1315,URBANO,ALTAMIRA
42,4,SAN CRISTOBAL,1316,URBANO,MORALBA
43,4,SAN CRISTOBAL,1317,URBANO,PUENTE COLORADO
44,4,SAN CRISTOBAL,1318,URBANO,QUINDIO
45,4,SAN CRISTOBAL,1319,URBANO,LA GLORIA ORIENTAL
46,4,SAN CRISTOBAL,1320,URBANO,NUEVA GLORIA
47,4,SAN CRISTOBAL,1321,URBANO,SAN MARTIN SUR
48,4,SAN CRISTOBAL,1322,URBANO,SAN RAFAEL USME
49,4,SAN CRISTOBAL,1323,URBANO,NUEVA DELHI
50,4,SAN CRISTOBAL,1324,URBANO,EL PINAR
51,4,SAN CRISTOBAL,1325,URBANO,JUAN REY (LA PAZ)
52,4,SAN CRISTOBAL,1327,URBANO,LOS LIBERTADORES
53,4,SAN CRISTOBAL,1328,URBANO,SANTA RITA SUR ORIENTAL
54,4,SAN CRISTOBAL,1329,URBANO,EL PARAISO
55,4,SAN CRISTOBAL,1330,URBANO,CANADA O GUIRA
56,4,SAN CRISTOBAL,1331,URBANO,ALTOS DEL ZUQUE
57,4,SAN CRISTOBAL,1332,URBANO,VILLABEL
58,4,SAN CRISTOBAL,1333,URBANO,ALTOS DEL POBLADO
59,4,SAN CRISTOBAL,1334,URBANO,LAS GAVIOTAS
60,5,USME,1335,URBANO,VILLA DIANA
61,5,USME,1336,URBANO,JUAN JOSE RONDON I
62,5,USME,1337,URBANO,SAN PEDRO SUR
63,4,SAN CRISTOBAL,1338,URBANO,LA BELLEZA
64,4,SAN CRISTOBAL,1339,URBANO,BOSQUE DE LOS ALPES
65,5,USME,1340,URBANO,TIHUAQUE
66,4,SAN CRISTOBAL,1342,URBANO,ALTOS DEL ZIPA
67,5,USME,1344,URBANO,LOS SOCHES
68,5,USME,1345,URBANO,DONA LILIANA
69,5,USME,1346,URBANO,CIUDAD LONDRES I
70,5,USME,1347,URBANO,JUAN REY SUR
71,5,USME,1348,URBANO,LA CABANA
72,5,USME,1349,URBANO,CIUDAD LONDRES
73,4,SAN CRISTOBAL,1350,URBANO,YOMASA
74,4,SAN CRISTOBAL,1352,URBANO,LAS GUACAMAYAS II
75,4,SAN CRISTOBAL,1353,URBANO,LAS GUACAMAYAS IV
76,4,SAN CRISTOBAL,1354,URBANO,LAS GUACAMAYAS III
