destino_economico,codigo_destino
RESIDENCIAL,01
COMERCIO EN CORREDOR COMERCIAL,21
COMERCIO EN CENTRO COMERCIAL,22
COMERCIO PUNTUAL,23
PARQUEADEROS,24
INDUSTRIAL,03
DOTACIONAL PUBLICO,04
DOTACIONAL PRIVADO,06
RECREACIONAL PÚBLICO,05
RECREACIONAL PRIVADO,08
URBANIZADO NO EDIFICADO,61
URBANIZABLE NO URBANIZADO,62
NO URBANIZABLE Y/O SUELO PROTEGIDO,63
URBANIZADO NO EDIFICADO PROPIEDAD DEL ESTADO,64
VIA,65
ESPACIO PÚBLICO,66
PREDIOS CON MEJORAS,67
MINERO,07
AGROPECUARIOS,81
AGRICOLA,83
PECUARIO,84
FORESTAL(Protector–productor),85
AGROINDUSTRIAL,86
OTROS,82
AGROFORESTAL,87
TIERRAS IMPRODUCTIVAS,88
PREDIOS RURALES PARCELADOS NO EDIFICADOS,89
